ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
45778144,5331,-,MERCEDES-BENZ,A 160,2004,Sedan,No,Petrol,1.6,130000 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,6
45803923,20526,640,HYUNDAI,Tucson,2013,Jeep,Yes,Diesel,2,200279 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
45803550,9722,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,719847 km,4.0,Automatic,Front,04-May,Left wheel,Orange,4
45802190,34657,777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,154672 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45802203,36564,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,110969 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
45648175,314,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,225510 km,4.0,Automatic,Front,04-May,Left wheel,White,12
45786421,5488,-,TOYOTA,Vitz,2001,Hatchback,No,Petrol,1.5,210000 km,4.0,Manual,Front,04-May,Right-hand drive,Sky blue,3
45802120,30063,934,HYUNDAI,H1,2015,Universal,Yes,Diesel,2.5,148105 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45809414,15800,769,CHEVROLET,Captiva,2011,Jeep,Yes,Diesel,2.2,255456 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45797480,43952,1249,HYUNDAI,H1,2017,Universal,Yes,Diesel,2.5,111643 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
45732043,53154,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,84506 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45816646,14740,645,TOYOTA,Prius,2011,Hatchback,No,Hybrid,1.8,288000 km,4.0,Automatic,Front,04-May,Left wheel,White,8
45624039,42337,-,FORD,Mustang,2016,Cabriolet,Yes,Petrol,2.3 Turbo,75000 km,4.0,Tiptronic,Rear,02-Mar,Left wheel,Silver,6
45814804,3763,1053,MERCEDES-BENZ,ML 350,2014,Jeep,Yes,Petrol,3.5,94362 km,6.0,Automatic,Rear,04-May,Left wheel,White,12
45787521,18189,-,TOYOTA,Prius,2012,Sedan,No,Petrol,1.8,175000 km,4.0,Automatic,Front,04-May,Left wheel,Silver,8
45759890,862,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,263190 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
45758167,220,1185,FORD,Escape,2009,Jeep,Yes,Hybrid,2.5,193614 km,4.0,Automatic,Front,04-May,Left wheel,White,0
45648538,5645,1324,TOYOTA,Highlander,2010,Jeep,Yes,Hybrid,3.3,264877 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
45757322,7527,830,TOYOTA,Yaris,2019,Sedan,Yes,Petrol,1.5,27656 km,4.0,Automatic,Front,04-May,Left wheel,White,12
45800993,21953,1187,HONDA,Civic,2014,Sedan,No,Hybrid,1.4,16000 km,8.0,Automatic,4x4,04-May,Right-hand drive,White,10
45765301,8154,-,HONDA,Cr-v,1998,Jeep,No,Petrol,2,0 km,4.0,Automatic,4x4,04-May,Right-hand drive,White,2
45771208,21953,781,TOYOTA,Camry,2012,Sedan,No,Petrol,2.5,195053 km,4.0,Automatic,Front,04-May,Left wheel,Black,0
45801684,19121,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,121362 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
45732386,36065,639,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,2,69191 km,4.0,Automatic,Front,04-May,Left wheel,White,4
43892866,8781,1111,HONDA,FIT,2012,Hatchback,Yes,Hybrid,1.3,83000 km,4.0,Tiptronic,Front,04-May,Right-hand drive,Green,12
45810403,6247,760,CHEVROLET,Cruze,2010,Sedan,Yes,Petrol,1.8,40772 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
45810513,16289,642,CHEVROLET,Orlando,2012,Jeep,Yes,Diesel,2,172000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
45807330,77775,1604,MERCEDES-BENZ,GL 63 AMG,2014,Jeep,Yes,Petrol,5.5,433811 km,8.0,Automatic,4x4,04-May,Left wheel,Black,10
45733554,2822,-,BMW,520 Vanos,1995,Sedan,Yes,Petrol,2,350000 km,6.0,Manual,Rear,04-May,Left wheel,Blue,2
45769914,549,781,SUBARU,Forester,2012,Jeep,Yes,Petrol,2.5,148213 km,4.0,Automatic,4x4,04-May,Left wheel,Blue,0
45744824,6981,1095,DAEWOO,Lacetti,2008,Sedan,Yes,Petrol,2,103246 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
45792882,27284,891,HYUNDAI,Elantra,2016,Sedan,No,Petrol,2,105394 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,12
45330228,32929,-,BMW,428 Sport Line,2013,Coupe,Yes,Petrol,2.0 Turbo,160000 km,4.0,Automatic,Rear,02-Mar,Left wheel,Black,12
45776745,18817,-,NISSAN,Patrol,1990,Jeep,No,Diesel,2.8 Turbo,333333 km,4.0,Manual,Rear,04-May,Left wheel,Black,0
45749534,4234,-,HONDA,Civic,1997,Hatchback,Yes,Petrol,1.4,0 km,4.0,Manual,Front,02-Mar,Left wheel,Blue,6
45789555,15053,-,MERCEDES-BENZ,E 320,2004,Sedan,Yes,Petrol,3.2,214000 km,6.0,Tiptronic,Rear,04-May,Left wheel,Grey,8
45797276,15458,966,HYUNDAI,Genesis,2009,Coupe,Yes,Petrol,2,123346 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
45809760,2901,473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,80827 km,4.0,Automatic,Front,04-May,Left wheel,Green,12
45810325,706,1138,PORSCHE,911,2013,Coupe,Yes,Petrol,3.8,64464 km,6.0,Automatic,Rear,02-Mar,Left wheel,Black,12
45813375,314,382,FORD,Fusion,2015,Sedan,Yes,Hybrid,2,91760 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
45756975,15681,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,275240 km,8.0,Automatic,4x4,04-May,Left wheel,Silver,0
45776758,26657,-,MERCEDES-BENZ,Sprinter,2004,Microbus,No,Diesel,2.2 Turbo,300000 km,4.0,Manual,Rear,04-May,Left wheel,White,1
45550733,10663,988,TOYOTA,Prius,2007,Hatchback,No,Petrol,1.5,318400 km,4.0,Automatic,Front,04-May,Left wheel,Silver,6
44094036,12858,765,FORD,Focus SE,2015,Sedan,No,Petrol,2,91200 km,4.0,Automatic,Front,04-May,Left wheel,Sky blue,10
45642797,1019,917,BMW,X5,2013,Jeep,Yes,Diesel,3,137802 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
45760895,549,917,BMW,535,2013,Sedan,Yes,Hybrid,3,151586 km,6.0,Automatic,Rear,04-May,Left wheel,White,12
45742789,12858,-,KIA,Picanto,2016,Hatchback,No,Petrol,1.2,107000 km,4.0,Manual,Front,04-May,Left wheel,Silver,2
45783859,15000,-,BMW,328,2008,Sedan,Yes,CNG,3,210408 km,6.0,Tiptronic,Rear,04-May,Left wheel,White,12
45808992,85553,1156,FORD,Explorer,2017,Jeep,Yes,Petrol,2.3,100567 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
45731735,44752,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,86000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
45797948,17158,687,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,122740 km,4.0,Automatic,Front,04-May,Left wheel,White,4
45782067,12231,-,MITSUBISHI,Airtrek,2005,Jeep,No,LPG,2.4,144000 km,4.0,Tiptronic,4x4,04-May,Right-hand drive,White,16
45534351,11917,11714,MERCEDES-BENZ,E 500 AMG,2003,Sedan,Yes,Petrol,5,150000 km,12.0,Tiptronic,Rear,04-May,Right-hand drive,White,12
45753393,1254,-,MITSUBISHI,Lancer,1997,Sedan,No,Petrol,1.3,100000 km,4.0,Manual,Rear,04-May,Left wheel,Red,0
45624923,94,-,HONDA,FIT,2003,Hatchback,No,Petrol,1.5,178000 km,4.0,Variator,Front,04-May,Right-hand drive,Silver,4
45726679,25591,640,SSANGYONG,Korando,2013,Jeep,Yes,Diesel,2,85704 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45803059,14897,836,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,2,58962 km,4.0,Automatic,Front,04-May,Left wheel,White,4
45770405,23521,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,90000 km,4.0,Tiptronic,Front,04-May,Left wheel,White,12
45787329,3450,-,RENAULT,Clio,1995,Hatchback,No,Petrol,1.2,50000 km,3.0,Manual,Front,02-Mar,Left wheel,Green,0
45763505,706,777,MAZDA,616,2014,Sedan,Yes,Petrol,2.5,0 km,4.0,Automatic,Front,04-May,Left wheel,Red,12
45767451,1019,1537,TOYOTA,Highlander,2009,Sedan,Yes,Hybrid,3.3,318358 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
45636958,16935,765,FORD,Fusion,2015,Sedan,Yes,Petrol,2,71454 km,4.0,Automatic,Front,04-May,Left wheel,Black,0
45757670,19444,781,TOYOTA,Camry,2012,Sedan,Yes,Petrol,2.5,0 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,6
45733244,11604,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,346470 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45802837,51965,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,59515 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4
45646428,706,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,115312 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12
45801896,9408,-,MERCEDES-BENZ,C 220,1999,Sedan,No,Diesel,2.2 Turbo,111111 km,4.0,Manual,Rear,04-May,Left wheel,Silver,4
45797732,13328,1347,HYUNDAI,H1,2008,Minivan,Yes,Diesel,2.5,74444 km,4.0,Automatic,Front,04-May,Left wheel,Yellow,4
45762683,17876,-,NISSAN,Serena,2012,Minivan,No,Petrol,2,143000 km,4.0,Tiptronic,Front,04-May,Right-hand drive,White,12
45767013,549,2866,NISSAN,Maxima,2004,Sedan,Yes,Petrol,3.5,299709 km,6.0,Automatic,Front,04-May,Left wheel,Grey,12
45732074,20071,-,TOYOTA,RAV 4,2008,Jeep,No,Petrol,2.4,135000 km,4.0,Automatic,4x4,04-May,Left wheel,Silver,8
45731782,22894,862,HYUNDAI,H1,2011,Minivan,Yes,Diesel,2.5,124444 km,4.0,Automatic,Front,04-May,Left wheel,Yellow,4
45662111,2901,503,HONDA,Civic,2012,Sedan,Yes,Hybrid,1.5,146403 km,4.0,Automatic,Front,04-May,Left wheel,White,0
45766794,15681,-,MITSUBISHI,Pajero,1997,Jeep,No,Petrol,2.4,142000 km,4.0,Automatic,4x4,02-Mar,Left wheel,Blue,6
45764126,39829,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,155821 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45768549,706,1646,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,102907 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
44698379,18660,-,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,130000 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,6
45770233,22580,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,50930 km,4.0,Automatic,Rear,04-May,Left wheel,Black,12
45803455,11604,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,264872 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45760030,314,259,CHEVROLET,Volt,2014,Hatchback,Yes,Hybrid,1.4,131893 km,4.0,Automatic,Front,04-May,Left wheel,Brown,0
45810339,5488,751,GMC,TERRAIN,2013,Jeep,Yes,Petrol,2.4,138958 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
45759786,4300,-,MERCEDES-BENZ,208,1985,Universal,No,Diesel,2.5,1111111 km,4.0,Manual,Rear,04-May,Left wheel,Black,1
45642844,18817,609,TOYOTA,Camry,2018,Sedan,Yes,Hybrid,2.5,35058 km,4.0,Automatic,Front,04-May,Left wheel,White,12
44921934,21169,697,HONDA,Hr-v EX,2015,Jeep,No,Petrol,1.8,33330 km,4.0,Automatic,4x4,04-May,Left wheel,Grey,8
45462592,9095,-,FIAT,500,2011,Coupe,No,Petrol,1.2,141000 km,4.0,Automatic,Front,02-Mar,Right-hand drive,Red,4
45634898,1568,639,VOLKSWAGEN,Jetta,2014,Sedan,Yes,Diesel,2,82392 km,4.0,Automatic,Front,04-May,Left wheel,Silver,12
45777114,3136,-,SUBARU,Legacy,2005,Goods wagon,No,Petrol,2.0 Turbo,180000 km,6.0,Tiptronic,4x4,04-May,Right-hand drive,Blue,6
45451626,17876,585,HYUNDAI,Elantra sport limited,2013,Sedan,Yes,Petrol,1.8,117920 km,4.0,Tiptronic,Front,04-May,Left wheel,Grey,12
45732976,11290,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,279787 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
44452971,36065,1399,TOYOTA,Sienna,2010,Minivan,Yes,Petrol,3.5,227200 km,6.0,Tiptronic,Front,04-May,Left wheel,White,16
45648000,862,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,130478 km,4.0,Automatic,Front,04-May,Left wheel,White,12
45796845,21395,781,HYUNDAI,H1,2012,Universal,Yes,Diesel,2.5,166144 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45733140,15681,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,258706 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45762282,627,475,CHEVROLET,Volt,2012,Jeep,Yes,Hybrid,1.4,188419 km,4.0,Automatic,Front,04-May,Left wheel,Red,0
45810003,40070,690,TOYOTA,Aqua,2016,Hatchback,Yes,Petrol,1.5,25807 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
44875253,11917,-,MERCEDES-BENZ,A 170,2008,Hatchback,No,Petrol,1.7,180000 km,4.0,Automatic,Front,04-May,Left wheel,Golden,8
45807577,72130,1079,LEXUS,NX 300,2018,Jeep,Yes,Petrol,2.0 Turbo,18918 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,6
45729867,35927,640,SSANGYONG,REXTON,2013,Jeep,Yes,Diesel,2,137267 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45801397,21012,308,TOYOTA,Prius,2014,Sedan,No,Hybrid,1.8,160000 km,4.0,Automatic,4x4,04-May,Left wheel,White,4
45765622,21012,1823,TOYOTA,Tacoma,2018,Sedan,Yes,Petrol,3.5,27358 km,6.0,Automatic,Front,04-May,Left wheel,Grey,12
45781785,13172,1361,KIA,Carnival grand,2009,Minivan,Yes,Diesel,2.9,84176 km,4.0,Automatic,Front,04-May,Left wheel,White,6
45802035,15624,707,HYUNDAI,Genesis,2011,Coupe,Yes,Petrol,2,107005 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
45811318,4547,-,OPEL,Vectra,1997,Sedan,No,Petrol,1.6,15000 km,4.0,Manual,Front,04-May,Left wheel,Beige,2
45751101,5488,1273,INFINITI,QX60,2015,Jeep,Yes,Petrol,3.5,124154 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
45801611,20005,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,104997 km,4.0,Automatic,Front,04-May,Left wheel,White,4
45792460,36110,924,VOLKSWAGEN,Passat,2017,Sedan,Yes,Petrol,1.8,27728 km,6.0,Tiptronic,Front,04-May,Left wheel,Silver,8
45798511,7840,-,MERCEDES-BENZ,E 240 E 240,1998,Sedan,Yes,Petrol,2.4,777777 km,6.0,Manual,Rear,04-May,Left wheel,Blue,4
45765057,470,1077,MAZDA,1000,2019,Jeep,Yes,Petrol,2,11566 km,4.0,Automatic,4x4,04-May,Left wheel,Black,12
45782173,1300,-,AUDI,50,2018,Coupe,Yes,Petrol,0.5,4000 km,1.0,Tiptronic,Rear,>5,Right-hand drive,Blue,0
45802937,43880,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,113700 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45675386,29479,584,MERCEDES-BENZ,C 250,2014,Sedan,Yes,Petrol,1.8 Turbo,69000 km,4.0,Tiptronic,Rear,04-May,Left wheel,Grey,8
45795520,17249,-,TOYOTA,Camry,2011,Sedan,Yes,Hybrid,2.5,152000 km,4.0,Variator,Front,04-May,Left wheel,White,12
45778720,9408,-,TOYOTA,Vitz funkargo,2003,Universal,No,Petrol,1.5,181926 km,4.0,Automatic,4x4,04-May,Right-hand drive,Silver,2
45802938,44213,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,50255 km,4.0,Automatic,Front,04-May,Left wheel,Red,4
45801304,8467,2078,BMW,325,2001,Sedan,Yes,Petrol,2.5,252800 km,6.0,Manual,Rear,04-May,Left wheel,Grey,6
45808583,627,915,AUDI,A6,2014,Sedan,Yes,Petrol,3,164488 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
45395938,21950,831,FORD,Transit,2011,Goods wagon,No,Diesel,2.4 Turbo,125000 km,4.0,Manual,4x4,04-May,Left wheel,White,2
45810208,706,475,FIAT,500,2012,Hatchback,Yes,Petrol,1.4,164574 km,4.0,Automatic,Front,04-May,Left wheel,Red,12
45766275,3136,473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,156992 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
45793851,3450,-,OPEL,Vectra,1995,Sedan,No,CNG,2,0 km,4.0,Manual,Front,04-May,Left wheel,White,2
45805913,9408,-,MITSUBISHI,Pajero,1998,Jeep,No,Petrol,3.5 Turbo,11000 km,6.0,Tiptronic,4x4,04-May,Right-hand drive,Silver,4
45793479,31500,-,NISSAN,Pathfinder,2010,Jeep,Yes,LPG,4,90200 km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12
